card_id,front,back,deck_name,tags
Operationalize,Operationalize,To translate a desired variable into a specific measurement,Anthro (Psych/Soc/Econ/Health),behavior
electromagnetic radiation range of visible light,electromagnetic radiation range of visible light,400-700nm,Anthro (Psych/Soc/Econ/Health),perception
&nbsp;Astonishing hypothesis,&nbsp;Astonishing hypothesis,&nbsp;Neurochemistry maps consciousness - the two are inseparable; our neurochemistry IS our consciousness<div><br></div>,Anthro (Psych/Soc/Econ/Health),behavior
Reasons for helping others,Reasons for helping others,&nbsp; &nbsp; &nbsp; &nbsp;◦ Kin selection<div>&nbsp; &nbsp; &nbsp; &nbsp;◦ Direct reciprocity</div><div>&nbsp; &nbsp; &nbsp; &nbsp;◦ Indirect reciprocity</div><div>&nbsp; &nbsp; &nbsp; &nbsp;◦ Belief in a higher power</div><div>&nbsp; &nbsp; &nbsp; • Folks living under a punitive religious higher power have been demonstrated to be more likely to give to the poor and help others</div>,Anthro (Psych/Soc/Econ/Health),perception
&nbsp; &nbsp; &nbsp; &nbsp;◦ Psychophysics,&nbsp; &nbsp; &nbsp; &nbsp;◦ Psychophysics,"invented in 1860 by Fechner, First science to describe the phenomenology of perception<div>&nbsp; &nbsp; &nbsp; &nbsp;◦ Goal of a PP experiment is to measure relationships between physical and perceived attributes of a stimulus</div><div>&nbsp; &nbsp; &nbsp; &nbsp;◦ E.g. Whistle stimulus has the physical attribute frequency and the perception/perceived attribute pitch. Physical amplitude, perceived loudness</div><div>&nbsp; &nbsp; &nbsp; &nbsp;◦ E.g. Perceptual brightness has physical attribute light intensity</div><div>&nbsp; &nbsp; &nbsp; &nbsp;◦ Measurement: light intensity = energy amount/surface area =lumen/square meter =lux</div>",Anthro (Psych/Soc/Econ/Health),perception
&nbsp; &nbsp; &nbsp; • Stevens’ power law,&nbsp; &nbsp; &nbsp; • Stevens’ power law,&nbsp; &nbsp; &nbsp;P= cS(^n)&nbsp;<div><br></div><div>&nbsp;• - perceived intensity is exponentially related to physical intensity<div>&nbsp; &nbsp; &nbsp; &nbsp;◦ P=perceived intensity</div><div>&nbsp; &nbsp; &nbsp; &nbsp;◦ S: stimulus intensity</div><div>&nbsp; &nbsp; &nbsp; &nbsp;◦ C: constant</div><div>&nbsp; &nbsp; &nbsp; &nbsp;◦ n: Stevens’ exponent</div></div>,Anthro (Psych/Soc/Econ/Health),perception
Signal detection theory,Signal detection theory,the minimal stimulus that a subject detect<div>&nbsp; &nbsp; &nbsp; &nbsp;◦ Place at which the participant detects more than 50% of the time</div><div><br></div><div>d’</div><div>Describes how many standard deviations apart are the signal present and signal absent distributions; i.e. quantifies the intensity &amp; discriminability of a stimulus<div>-discriminability &amp; stimulus intensity have a linear relationship</div></div>,Anthro (Psych/Soc/Econ/Health),perception
Replicability,Replicability,"&nbsp; &nbsp; &nbsp; &nbsp;◦ Replicability issues occur across medical fields, not just in psychology<div>&nbsp; &nbsp; &nbsp; &nbsp;◦ Null results matter tons</div><div>&nbsp; &nbsp; &nbsp; &nbsp;◦ Studies with the strongest initial findings tend to have the most Replicability</div>",Anthro (Psych/Soc/Econ/Health),behavior
Signal detection experiment design,Signal detection experiment design,"Equal amount of trials with and without stimulus<div>-each trial, participant reports detection</div><div>2-alternative-forced-voice-design</div>",Anthro (Psych/Soc/Econ/Health),perception
Matrix of outcomes,Matrix of outcomes,Hit rate: rate of true positives<div>Miss rate: rate of false negatives</div><div>False alarm Rate: rate of false positives</div><div>Correct rejection rate: rate of true negatives</div>,Anthro (Psych/Soc/Econ/Health),behavior;perception
